name,recclass,mass,fill,date,year,reclat,reclong
Marne,France,483000,terrestre,1914,1914,48.96126,4.31224
Bataille des lacs de Mazurie,Pologne,165000,terrestre,1914,1914,54.1408029,21.8598447
Tannenberge,Pologne,183000,terrestre,1914,1914,53.4953662,20.1335477
Dardanelles,Turquie,503000,terrestre,1915,1915,40.2091725,26.4413908
Salonique,Grèce,404,navale,1915,1915,40.3403167,22.9352716
Sarıkamış,Turquie,97000,terrestre,1915,1915,40.1993427,42.5531971
Jutland,Danemark,9839,navale,1916,1916,55.9396438,7.3180846
Heligoland,Allemagne,1287,navale,1916,1916,54.1800452,7.8853621
Somme,France,1060000,terrestre,1916,1916,49.9689714,2.373859
Verdun,France,350000,terrestre,1916,1916,49.1589278,5.3867277
Caporetto,Slovénie,310000,terrestre,1917,1917,46.2455017,13.5791754
Vittorio Veneto,Italie,148000,terrestre,1918,1918,45.98966,12.29643
Marne,France,293000,terrestre,1918,1918,48.901264,4.38224
Chemin des Dames,France,350000,terrestre,1917,1917,49.9938638,3.4611493
Ypres (Batailles des Flandres) septembre,Belgique,293272,terrestre,1914,1914,50.8516968,2.8914737
Ypres (Batailles des Flandres) mai-decembre,Belgique,105000,terrestre,1915,1915,50.9516968,2.8914737
Artois(mai-juin),France,203300,terrestre,1915,1915,50.291048,2.7772211
Artois(Automne),France,118000,terrestre,1915,1915,50.311048,2.8072211
Vimy,France,30602,terrestre,1917,1917,50.4232652,2.8107935
Bataille de Champagne du 14 décembre 1914 au 17 mars 1915,France,10000,terrestre,1914,1914,49.0034293,5.4643246
Seconde Bataille de Champagne(25 septembre au 6 octobre),France,217500,terrestre,1915,1915,49.1875836,4.7867513
Offensive Meuse-Argonne,France,185277,terrestre,1915,1915,49.0751627,5.0378013
La bataille du Linge(Hohrod),France,15867,terrestre,1915,1915,48.0547483,7.1255407
Bataille du Hartmannswillerkopf ou bataille du Vieil-Armand,France,130000,terrestre,1915,1915,47.8609139,7.1610179